2025-07-14 10:16:03.100 [restartedMain] INFO  c.payroll.texas.PayrollApplication - Starting PayrollApplication using Java 17.0.12 with PID 16288 (C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll\target\classes started by HP in C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll)
2025-07-14 10:19:00.118 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:19:00.124 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:19:00.124 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:19:00.124 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2
2025-07-14 10:19:00.124 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 4 employees for company 2
2025-07-14 10:19:46.922 [http-nio-8080-exec-4] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:19:46.930 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:19:46.931 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:19:46.933 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: ACTIVE
2025-07-14 10:19:46.944 [http-nio-8080-exec-4] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 4 employees for company 2 and status ACTIVE
2025-07-14 10:19:46.950 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:19:46.954 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 2
2025-07-14 10:19:46.955 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Found company Gvkss for user 2
2025-07-14 10:19:46.956 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 2 and status: ACTIVE
2025-07-14 10:19:46.966 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 4 employees for company 2 and status ACTIVE
2025-07-14 10:20:09.653 [http-nio-8080-exec-2] INFO  c.payroll.texas.service.AuthService - Login attempt for email: dinesh@gmail.com
2025-07-14 10:20:10.453 [http-nio-8080-exec-2] INFO  c.payroll.texas.service.AuthService - Login successful for user: dinesh@gmail.com (ID: 4)
2025-07-14 10:20:10.464 [http-nio-8080-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'Authorization' for method parameter type String is not present]
2025-07-14 10:20:12.190 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:20:12.195 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:20:12.195 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:20:12.200 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:20:12.200 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status ACTIVE
2025-07-14 10:20:12.214 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:20:12.214 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:20:12.214 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:20:12.214 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:20:12.232 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status ACTIVE
2025-07-14 10:20:14.135 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:20:14.142 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:20:14.145 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:20:14.145 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: INACTIVE
2025-07-14 10:20:14.149 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 4 and status INACTIVE
2025-07-14 10:20:14.795 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:20:14.795 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:20:14.795 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:20:14.795 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: TERMINATED
2025-07-14 10:20:14.810 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status TERMINATED
2025-07-14 10:20:18.273 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:20:18.273 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:20:18.273 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:20:18.273 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:20:18.290 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status ACTIVE
2025-07-14 10:23:36.578 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Received request to add employee with company. Payload keys: [employee]
2025-07-14 10:23:36.579 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:36.579 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:36.588 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Converting employee object to Employee entity...
2025-07-14 10:23:36.652 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Saving employee: Srinivas Annarapu
2025-07-14 10:23:36.652 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Saving employee: john@gmail.com
2025-07-14 10:23:36.652 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - SSN encryption temporarily disabled for testing
2025-07-14 10:23:36.652 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Bank account encryption temporarily disabled for testing
2025-07-14 10:23:36.652 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Bank routing encryption temporarily disabled for testing
2025-07-14 10:23:36.710 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Employee saved successfully with ID: 12
2025-07-14 10:23:36.717 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:36.723 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:36.723 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:36.723 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:23:36.730 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:23:43.277 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:43.281 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:43.284 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:43.285 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: TERMINATED
2025-07-14 10:23:43.292 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status TERMINATED
2025-07-14 10:23:47.343 [http-nio-8080-exec-6] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:47.349 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:47.351 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:47.351 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4
2025-07-14 10:23:47.358 [http-nio-8080-exec-6] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 3 employees for company 4
2025-07-14 10:23:49.355 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:49.363 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:49.363 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:49.365 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:23:49.372 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:23:50.465 [http-nio-8080-exec-1] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:50.472 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:50.475 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:50.476 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: INACTIVE
2025-07-14 10:23:50.483 [http-nio-8080-exec-1] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 4 and status INACTIVE
2025-07-14 10:23:51.719 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:51.727 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:51.727 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:51.727 [http-nio-8080-exec-7] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: TERMINATED
2025-07-14 10:23:51.738 [http-nio-8080-exec-7] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status TERMINATED
2025-07-14 10:23:54.834 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:54.839 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:54.840 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:54.840 [http-nio-8080-exec-10] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: INACTIVE
2025-07-14 10:23:54.840 [http-nio-8080-exec-10] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 4 and status INACTIVE
2025-07-14 10:23:55.728 [http-nio-8080-exec-4] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:23:55.734 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:23:55.734 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:23:55.735 [http-nio-8080-exec-4] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:23:55.740 [http-nio-8080-exec-4] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:24:00.562 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:00.565 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:00.565 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:00.565 [http-nio-8080-exec-8] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: TERMINATED
2025-07-14 10:24:00.578 [http-nio-8080-exec-8] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status TERMINATED
2025-07-14 10:24:04.043 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:04.045 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:04.051 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:04.051 [http-nio-8080-exec-5] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:24:04.057 [http-nio-8080-exec-5] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:24:09.131 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:09.136 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:09.138 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:09.138 [http-nio-8080-exec-3] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: INACTIVE
2025-07-14 10:24:09.138 [http-nio-8080-exec-3] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 4 and status INACTIVE
2025-07-14 10:24:09.895 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:09.899 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:09.899 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:09.904 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: TERMINATED
2025-07-14 10:24:09.910 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 1 employees for company 4 and status TERMINATED
2025-07-14 10:24:12.085 [http-nio-8080-exec-6] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:12.085 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:12.085 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:12.092 [http-nio-8080-exec-6] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: INACTIVE
2025-07-14 10:24:12.098 [http-nio-8080-exec-6] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 0 employees for company 4 and status INACTIVE
2025-07-14 10:24:12.807 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:24:12.812 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:24:12.812 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:24:12.812 [http-nio-8080-exec-2] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:24:12.817 [http-nio-8080-exec-2] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:41:11.770 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m35s344ms247µs100ns).
2025-07-14 10:41:50.407 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:41:50.412 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:41:50.413 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:41:50.414 [http-nio-8080-exec-9] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:41:50.420 [http-nio-8080-exec-9] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:41:50.421 [http-nio-8080-exec-1] INFO  c.p.t.controller.EmployeeController - Received request to get all employees for logged-in user's company
2025-07-14 10:41:50.421 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Getting company from user context for user ID: 4
2025-07-14 10:41:50.421 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Found company ufch for user 4
2025-07-14 10:41:50.421 [http-nio-8080-exec-1] INFO  c.p.texas.service.EmployeeService - Fetching employees for company ID: 4 and status: ACTIVE
2025-07-14 10:41:50.434 [http-nio-8080-exec-1] INFO  c.p.t.controller.EmployeeController - Successfully retrieved 2 employees for company 4 and status ACTIVE
2025-07-14 10:42:01.562 [RMI TCP Connection(33)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2025-07-14 10:42:01.562 [RMI TCP Connection(33)-127.0.0.1] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-14 10:42:01.848 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-14 10:42:04.427 [restartedMain] INFO  c.payroll.texas.PayrollApplication - Starting PayrollApplication using Java 17.0.12 with PID 16868 (C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll\target\classes started by HP in C:\Users\HP\OneDrive\Desktop\texaspayrollgvkss\gvkss-payrollbackend\payroll)
2025-07-14 10:42:04.429 [restartedMain] INFO  c.payroll.texas.PayrollApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-14 10:42:04.483 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-14 10:42:04.483 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-14 10:42:06.126 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-14 10:42:06.202 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1719 ms
2025-07-14 10:42:06.932 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/texas_payroll (PostgreSQL 17.5)
2025-07-14 10:42:07.220 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 8
2025-07-14 10:42:07.225 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-07-14 10:42:07.947 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-14 10:42:10.382 [restartedMain] INFO  c.p.t.controller.EmployeeController - EmployeeController is being instantiated!
2025-07-14 10:42:10.500 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
